Num	D2EHPA	Tempo	Acido	Sal	EDTA	Y
13	-1	-1	-1	-1	1	6.6640
4	1	-1	-1	-1	-1	19.9549
17	-1	1	-1	-1	-1	13.8836
29	1	1	-1	-1	1	7.2735
8	-1	-1	1	-1	-1	25.5076
22	1	-1	1	-1	1	13.1831
1	-1	1	1	-1	1	0
11	1	1	1	-1	-1	10.5701
6	-1	-1	-1	1	-1	5.9265
27	1	-1	-1	1	1	0
7	-1	1	-1	1	1	0
23	1	1	-1	1	-1	0
3	-1	-1	1	1	1	3.7950
5	1	-1	1	1	-1	9.4757
26	-1	1	1	1	-1	5.4113
14	1	1	1	1	1	4.8725
24	-2	0	0	0	0	8.2028
16	2	0	0	0	0	15.7962
10	0	-2	0	0	0	4.1587
9	0	2	0	0	0	9.8293
2	0	0	-2	0	0	0
12	0	0	2	0	0	22.0325
15	0	0	0	-2	0	8.9571
19	0	0	0	2	0	0
18	0	0	0	0	-2	3.5660
20	0	0	0	0	2	10.9809
28	0	0	0	0	0	9.6912
21	0	0	0	0	0	3.7108
25	0	0	0	0	0	0.5927
